'KEYWORD'	'CODE'	'NAME'	'SHORT_NAME'	'SHOW_ORDER'
'validity'	'0'	'{"ja":"無効", "en":"invalid"}'	'{"ja":"無効", "en":"invalid"}'	'2'
'validity'	'1'	'{"ja":"有効", "en":"valid"}'	'{"ja":"有効", "en":"valid"}'	'1'
'required '	'0'	'{"ja":"任意", "en":"optional"}'	'{"ja":"任意", "en":"opt."}'	'1'
'required '	'1'	'{"ja":"必須", "en":"required"}'	'{"ja":"必須", "en":"req."}'	'1'
'necessary '	'0'	'{"ja":"不要", "en":"not needed"}'	'{"ja":"不要", "en":"not"}'	'2'
'necessary '	'1'	'{"ja":"必須", "en":"required"}'	'{"ja":"必須", "en":"req."}'	'1'
'necessary '	'2'	'{"ja":"任意", "en":"optional"}'	'{"ja":"任意", "en":"opt."}'	'1'
'shift'	'1'	'{"ja":"日勤", "en":"day shift"}'	'{"ja":"日勤", "en":"day"}'	'1'
'shift'	'2'	'{"ja":"夜勤", "en":"night shift"}'	'{"ja":"夜勤", "en":"night"}'	'2'
'shift'	'3'	'{"ja":"２交代", "en":"two-shifts"}'	'{"ja":"２交", "en":"two"}'	'3'
'shift'	'4'	'{"ja":"３交代", "en":"three-shifts"}'	'{"ja":"３交", "en":"three"}'	'4'
'feature'	'1'	'{"ja":"勤怠申請", "en":"Self. Apply"}'	'{"ja":"申請", "en":"Apply"}'	'1'
'feature'	'2'	'{"ja":"代理勤怠申請", "en":" Rep. Apply"}'	'{"ja":"代理", "en":" Rep."}'	'2'
'feature'	'3'	'{"ja":"勤怠申請承認", "en":"Appl. Approve"}'	'{"ja":"承認", "en":"Appr."}'	'3'
'feature'	'4'	'{"ja":"マスタ保守", "en":"Master Maint."}'	'{"ja":"マ保", "en":"Maint."}'	'4'
'attendance_family'	'1'	'{"ja":"単独", "en":"solo"}'	'{"ja":"単独", "en":"solo"}'	'1'
'attendance_family'	'2'	'{"ja":"計画と実績", "en":"plan and result"}'	'{"ja":"計実", "en":"plan&rslt"}'	'2'
'attendance_subfamily'	'1'	'{"ja":"単独", "en":"solo"}'	'{"ja":"単独", "en":"solo"}'	'1'
'attendance_subfamily'	'2'	'{"ja":"計画", "en":"plan"}'	'{"ja":"計画", "en":"plan"}'	'2'
'attendance_subfamily'	'3'	'{"ja":"実績", "en":"result"}'	'{"ja":"実績", "en":"result"}'	'3'
'attendance_status'	'1'	'{"ja":"作成中", "en":"making"}'	'{"ja":"作中", "en":"making"}'	'1'
'attendance_status'	'2'	'{"ja":"申請中", "en":"applying"}'	'{"ja":"申中", "en":"applying"}'	'2'
'attendance_status'	'3'	'{"ja":"承認", "en":"approved"}'	'{"ja":"承認", "en":"approved"}'	'3'
'attendance_status'	'4'	'{"ja":"却下", "en":"rejected"}'	'{"ja":"却下", "en":"rejected"}'	'4'
'attendance_execution'	'0'	'{"ja":"未実施", "en":"not yet"}'	'{"ja":"未実", "en":"not yet"}'	'1'
'attendance_execution'	'1'	'{"ja":"実施", "en":"done"}'	'{"ja":"実施", "en":"done"}'	'2'
