'KEYWORD'	'LABEL'	'SHORT_LABEL'
'title'	'{"ja":"勤怠管理", "en":"attendance"}'	'{"ja":"勤怠", "en":"appl."}'
'login'	'{"ja":"ログイン", "en":"login"}'	'{"ja":"login", "en":"login"}'
'logout'	'{"ja":"ログアウト", "en":"logout"}'	'{"ja":"logout", "en":"logout"}'
'login_id'	'{"ja":"ログインID", "en":"login ID"}'	'{"ja":"login ID", "en":"id"}'
'password'	'{"ja":"パスワード", "en":"password"}'	'{"ja":"password", "en":"pwd"}'
'attendance_kind'	'{"ja":"勤怠内容", "en":"kind"}'	'{"ja":"内容", "en":"kind"}'
'status'	'{"ja":"状態", "en":"status"}'	'{"ja":"状態", "en":"status"}'
'subfamily'	'{"ja":"申請種類", "en":"subfamily"}'	'{"ja":"種類", "en":"subfamily"}'
'execution'	'{"ja":"実施状態", "en":"execution"}'	'{"ja":"実施", "en":"exec"}'
'begin_date'	'{"ja":"開始日付", "en":"begin date"}'	'{"ja":"自日", "en":"begin d."}'
'begin_time'	'{"ja":"開始時刻", "en":"begin time"}'	'{"ja":"至時", "en":"begin t."}'
'end_date'	'{"ja":"終了日付", "en":"end date"}'	'{"ja":"至日", "en":"end d."}'
'end_time'	'{"ja":"終了時刻", "en":"end time"}'	'{"ja":"至時", "en":"end t."}'
'shift'	'{"ja":"勤務形態", "en":"shift"}'	'{"ja":"勤務", "en":"shift"}'
'reason'	'{"ja":"備考/理由", "en":"notes/reason"}'	'{"ja":"備考", "en":"notes"}'
'application_date'	'{"ja":"申請日", "en":"application date"}'	'{"ja":"申請日", "en":"appl. d."}'
'agent'	'{"ja":"代理申請者", "en":"agent"}'	'{"ja":"代理", "en":"agent"}'
'approver'	'{"ja":"承認者", "en":"approver"}'	'{"ja":"承認者", "en":"approver"}'
'approval_date'	'{"ja":"承認日", "en":"approval date"}'	'{"ja":"承認日", "en":"appr. d."}'
'approval_comment'	'{"ja":"承認コメント", "en":"approval comment"}'	'{"ja":"コメント", "en":"comment"}'
'employee'	'{"ja":"社員", "en":"employee"}'	'{"ja":"社員", "en":"employee"}'
'validity'	'{"ja":"有効/無効", "en":"validity"}'	'{"ja":"有/無効", "en":"validity"}'
'required'	'{"ja":"必須", "en":"required"}'	'{"ja":"必須", "en":"required"}'
'person'	'{"ja":"人", "en":"person"}'	'{"ja":"人", "en":"person"}'
'people'	'{"ja":"人", "en":"people"}'	'{"ja":"人", "en":"people"}'
'n_of_employees'	'{"ja":"社員数", "en":"number of employee"}'	'{"ja":"数", "en":"n."}'
'date'	'{"ja":"日付", "en":"date"}'	'{"ja":"日付", "en":"date"}'
'time'	'{"ja":"時間", "en":"time"}'	'{"ja":"時間", "en":"time"}'
'new'	'{"ja":"申請作成", "en":"new"}'	'{"ja":"新規", "en":"new"}'
'show'	'{"ja":"申請確認", "en":"show"}'	'{"ja":"確認", "en":"show"}'
'edit'	'{"ja":"申請編集", "en":"edit"}'	'{"ja":"編集", "en":"edit"}'
'approve'	'{"ja":"申請承認", "en":"approve"}'	'{"ja":"承認", "en":"approve"}'
'search'	'{"ja":"検索", "en":"search"}'	'{"ja":"検索", "en":"search"}'
'apply'	'{"ja":"申請", "en":"apply"}'	'{"ja":"申請", "en":"apply"}'
'accept'	'{"ja":"承認", "en":"accept"}'	'{"ja":"承認", "en":"accept"}'
'reject'	'{"ja":"却下", "en":"reject"}'	'{"ja":"却下", "en":"reject"}'
'save'	'{"ja":"保存", "en":"save"}'	'{"ja":"保存", "en":"save"}'
'back'	'{"ja":"戻る", "en":"back"}'	'{"ja":"戻る", "en":"back"}'
'clear'	'{"ja":"クリア", "en":"clear"}'	'{"ja":"クリア", "en":"clear"}'
'feature'	'{"ja":"機能", "en":"feature"}'	'{"ja":"機能", "en":"feature"}'
'criteria'	'{"ja":"検索条件", "en":"criteria"}'	'{"ja":"条件", "en":"criteria"}'
'self_agent'	'{"ja":"申請方法", "en":"method"}'	'{"ja":"方法", "en":"method"}'
'self_apply'	'{"ja":"自己申請", "en":"self"}'	'{"ja":"自己", "en":"self"}'
'agent_apply'	'{"ja":"代理申請", "en":"agent"}'	'{"ja":"代理", "en":"agent"}'
