'KEYWORD'	'MESSAGE'
'pls_input_login_id'	'{"ja":"ログインIDを入力してください", "en":"Please input login id."}'
'pls_input_password'	'{"ja":"パスワードを入力してください", "en":"Please input password."}'
'fail_login'	'{"ja":"ログインに失敗しました。", "en":"failed to login."}'
'invalid_usr_pwd'	'{"ja":"ログインIDまたはパスワードが違います。", "en":"can''t login."}'
'not_login'	'{"ja":"ログインしていません。", "en":"not login."}'
'locked_out'	'{"ja":"ロックアウトされています。", "en":"locked out."}'
'logged_out'	'{"ja":"ログアウトしました。", "en":"logged out"}'
'pls_input'	'{"ja":"入力してください", "en":"Please input."}'
'invalid_id'	'{"ja":"IDが正しくありません。", "en":"invalid attendance id."}'
'invalid_value'	'{"ja":"値が正しくありません。", "en":"invalid value."}'
'reversed_date'	'{"ja":"日付が同じ、または、逆です。", "en":"[begin date] and [end date] are equal or reversed."}'
'reversed_time'	'{"ja":"時間が同じ、または、逆です。", "en":"[begin time] and [end time] are equal or reversed."}'
'pls_check_entry'	'{"ja":"入力内容を確認して下さい。", "en":"Please check your entry."}'
'fail_approver_fetch'	'{"ja":"承認者の取得に失敗しました。", "en":"failed to fetch approver."}'
'no_attendance'	'{"ja":"勤怠情報がありません。", "en":"No attendance information."}'
'fail_attendance_new'	'{"ja":"勤怠情報の作成に失敗しました。", "en":"failed to create attendance information."}'
'fail_attendance_fetch'	'{"ja":"勤怠情報の取得に失敗しました。", "en":"failed to fetch attendance information."}'
'fail_attendance_register'	'{"ja":"勤怠情報の登録に失敗しました。", "en":"failed to register attendance information."}'
'fail_optimistic_lock'	'{"ja":"既に情報が更新されています。。", "en":"fail optimistic lock."}'
'success_attendance_new'	'{"ja":"作成しました。", "en":"succeeded in creation."}'
'success_attendance_register'	'{"ja":"登録しました。", "en":"succeeded in registration."}'
'success_attendance_apply'	'{"ja":"申請しました。", "en":"succeeded in application."}'
'success_attendance_accept'	'{"ja":"承認しました。", "en":"succeeded in approval."}'
'success_attendance_reject'	'{"ja":"却下しました。", "en":"succeeded in rejection."}'
